"y1","y2","st"
"1",1,1,1
"2",1,2,0
"3",1,3,0
"4",1,4,8
"5",1,5,9
"6",1,6,0
"7",1,7,0
"8",2,1,0
"9",2,2,2
"10",2,3,0
"11",2,4,0
"12",2,5,11
"13",2,6,0
"14",2,7,0
"15",3,1,0
"16",3,2,0
"17",3,3,3
"18",3,4,0
"19",3,5,11
"20",3,6,0
"21",3,7,0
"22",4,1,0
"23",4,2,0
"24",4,3,0
"25",4,4,4
"26",4,5,11
"27",4,6,0
"28",4,7,0
"29",5,1,5
"30",5,2,14
"31",5,3,14
"32",5,4,14
"33",5,5,5
"34",5,6,14
"35",5,7,14
"36",6,1,0
"37",6,2,0
"38",6,3,0
"39",6,4,0
"40",6,5,11
"41",6,6,6
"42",6,7,0
"43",7,1,0
"44",7,2,0
"45",7,3,0
"46",7,4,0
"47",7,5,11
"48",7,6,0
"49",7,7,3
